,Кол-во генов в кластере,Z_max,Z_mean,Кол-во родов в кластере,Имя гена в кластере,Кол-во участков с Z-DNA в промоутере
49,35,1201.671,907.6972600000001,34,isoleucine--tRNA ligase [Vibrio furnissii],5
50,35,1737.612,974.5808,34,MULTISPECIES: RNA polymerase sigma factor RpoD [Vibrio],5
51,35,2091.083,1378.53025,32,MULTISPECIES: phosphopyruvate hydratase [Serratia],12
52,35,2752.447,1303.257875,28,MULTISPECIES: 30S ribosomal protein S1 [Serratia],4
53,35,8922.646,3994.79368,34,methionine--tRNA ligase [Acinetobacter bouvetii],20
54,35,3428.529,1724.31575,34,glutamine--fructose-6-phosphate transaminase (isomerizing) [Vibrio cholerae],4
55,35,138924.1,12841.406623076922,33,MULTISPECIES: translation initiation factor IF-2 [Serratia],13
56,35,13713.99,2518.549525,32,MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase [Serratia],12
57,35,138924.1,12455.091692307693,28,MULTISPECIES: preprotein translocase subunit SecY [Bacteria],13
58,35,3428.529,1086.9289199999998,34,MULTISPECIES: peptide chain release factor 3 [Vibrio],10
59,35,1090.564,905.7153000000002,30,MULTISPECIES: RNA polymerase sigma factor RpoH [Serratia],6
60,35,6910.52,2083.8356000000003,34,MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [Vibrio],5
61,35,,,30,MULTISPECIES: CTP synthase (glutamine hydrolyzing) [Serratia],0
62,35,27872.66,3864.909346666667,34,MULTISPECIES: phosphoglucosamine mutase [Acinetobacter],15
63,35,933.9717,766.7273230769231,24,MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Bacteria],13
64,35,883.5764,791.6666,13,MULTISPECIES: 30S ribosomal protein S21 [Bacteria],2
65,35,13713.99,3557.061191666666,34,MULTISPECIES: adenylosuccinate lyase [Vibrio],12
66,35,13713.99,2409.3478666666665,34,valine--tRNA ligase [Vibrio furnissii],12
67,35,4545.701,1252.0491714285715,29,MULTISPECIES: 30S ribosomal protein S4 [Enterobacteriaceae],14
68,35,2015.61,1296.082253846154,34,MULTISPECIES: translation elongation factor Ts [Vibrio],13
69,35,8636.407,4772.40125,29,MULTISPECIES: 50S ribosomal protein L5 [Bacteria],2
70,35,3428.529,2177.4935923076923,31,MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Serratia],13
71,35,13713.99,2944.5570000000002,33,MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Kosakonia],6
72,35,657.1159,657.1159,29,MULTISPECIES: 30S ribosomal protein S6 [Enterobacterales],1
73,35,13713.99,1839.6442307692307,34,polyribonucleotide nucleotidyltransferase [Vibrio cholerae],13
74,35,302785.5,20921.76794166667,33,MULTISPECIES: tRNA guanosine(34) transglycosylase Tgt [Serratia],24
75,35,13713.99,13713.99,34,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase [Vibrio cholerae],1
76,35,4876.735,2255.0160625000003,34,alanine--tRNA ligase [Vibrio furnissii],8
77,35,29467.88,8291.161968965518,33,MULTISPECIES: 50S ribosomal protein L1 [Serratia],29
78,35,10616.46,2368.0506428571425,32,MULTISPECIES: bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN [Serratia],7
79,35,967.591,897.21325,28,MULTISPECIES: ribose-phosphate diphosphokinase [Serratia],2
80,35,13713.99,2649.4187428571427,34,pantoate--beta-alanine ligase [Vibrio cholerae],14
81,35,8411.479,2182.9383666666663,34,MULTISPECIES: 2-oxoglutarate dehydrogenase E1 component [Vibrio],6
82,35,13713.99,3501.8745833333337,34,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Vibrio furnissii],6
83,35,8962.093,2030.3227750000003,34,MULTISPECIES: ribosome biogenesis GTPase Der [Vibrio],12
84,35,3428.529,1145.2042272727274,32,MULTISPECIES: tRNA dihydrouridine synthase DusB [Serratia],11
85,35,3428.529,1110.9714304347826,33,"MULTISPECIES: glutamate-1-semialdehyde 2,1-aminomutase [Serratia]",23
86,35,13713.99,2438.52064375,34,MULTISPECIES: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG [Proteobacteria],16
87,35,3993.322,1835.1758666666665,33,MULTISPECIES: translation elongation factor 4 [Serratia],6
88,35,2300.768,1289.4713333333332,30,MULTISPECIES: 30S ribosomal protein S8 [Bacteria],3
89,35,4876.735,1931.6048875000001,33,MULTISPECIES: Obg family GTPase CgtA [Serratia],8
90,35,38833.58,8216.378857142858,33,MULTISPECIES: lipoyl synthase [Serratia],7
91,35,38833.58,12667.004595238095,32,MULTISPECIES: quinone-dependent dihydroorotate dehydrogenase [Kosakonia],21
92,35,13713.99,2678.877111111111,30,MULTISPECIES: 23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE [Serratia],9
93,35,2091.083,1065.1075263157895,34,preprotein translocase subunit SecA [Vibrio furnissii],19
94,35,6420.008,2057.5833615384613,34,MULTISPECIES: aspartate--tRNA ligase [Vibrio],13
95,35,4545.701,1389.58588,33,MULTISPECIES: DNA topoisomerase (ATP-hydrolyzing) subunit B [Serratia],5
96,35,37878.25,11174.79275,30,MULTISPECIES: UMP kinase [Serratia],4
97,35,2173.083,1276.02592,27,MULTISPECIES: 30S ribosomal protein S9 [Enterobacteriaceae],5
98,35,2943.461,1398.54755,33,MULTISPECIES: energy-dependent translational throttle protein EttA [Serratia],4
99,35,1430.8,974.9349,33,MULTISPECIES: DNA topoisomerase IV subunit B [Serratia],4
100,35,3428.529,1860.8910333333333,34,phosphoribosylformylglycinamidine cyclo-ligase [Vibrio furnissii],9
101,35,4860.206,3060.777,31,MULTISPECIES: molecular chaperone DnaJ [Serratia],9
102,35,27872.66,7605.563750000001,31,MULTISPECIES: LPS export ABC transporter ATP-binding protein [Serratia],4
103,35,883.5764,818.7949142857143,33,MULTISPECIES: amidophosphoribosyltransferase [Enterobacteriaceae],7
104,35,8922.646,3709.8696500000005,26,MULTISPECIES: transcription termination/antitermination protein NusG [Enterobacteriaceae],4
105,35,,,29,MULTISPECIES: 50S ribosomal protein L3 [Serratia],0
106,35,8922.646,2780.9047111111113,33,MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Kosakonia],9
107,35,3428.529,1537.7362799999999,34,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Vibrio furnissii],5
108,35,13713.99,7411.4884999999995,34,molecular chaperone HtpG [Vibrio furnissii],2
109,35,13713.99,2706.9618333333333,33,MULTISPECIES: UDP-N-acetylmuramate--L-alanine ligase [Aeromonas],12
110,35,865.283,824.553,34,glutamate--ammonia ligase [Vibrio cholerae],2
111,35,2752.447,1260.3900347826088,32,MULTISPECIES: ribosome-dependent GTPase TypA [Serratia],23
112,35,13713.99,3227.2145499999997,34,MULTISPECIES: DNA repair protein RadA [Vibrio],8
113,35,2264.006,1573.7912,34,DNA-directed RNA polymerase subunit beta' [Vibrio cholerae],2
114,35,1065.164,994.8703333333333,33,MULTISPECIES: lysine--tRNA ligase [Kosakonia],6
115,35,1430.8,1087.1046666666668,26,MULTISPECIES: 50S ribosomal protein L16 [Enterobacteriaceae],3
116,35,8485.756,2605.0444346153845,27,MULTISPECIES: 50S ribosomal protein L18 [Bacteria],26
117,35,8323.257,3569.3008333333332,22,MULTISPECIES: 50S ribosomal protein L22 [Bacteria],6
118,35,783.823,676.56535,32,MULTISPECIES: GTPase Era [Serratia],2
119,35,49376.54,3973.01059375,34,MULTISPECIES: tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Vibrio],16
120,35,2057.902,1427.4509333333335,33,MULTISPECIES: ABC transporter ATP-binding protein [Kosakonia],3
121,35,2752.447,1033.546009090909,34,MULTISPECIES: tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB [Vibrio],11
122,35,65884.11,13937.062007142857,34,primosomal protein N' [Vibrio furnissii],14
123,35,3428.529,3428.529,31,MULTISPECIES: DNA-directed RNA polymerase subunit beta [Serratia],1
124,35,1326.125,994.5562538461538,34,ATP-dependent DNA helicase RecG [Acinetobacter bouvetii],13
125,35,4576.539,2448.2411,33,MULTISPECIES: guanylate kinase [Serratia],4
126,35,980.8116,802.9143624999999,34,DNA topoisomerase IV subunit A [Vibrio furnissii],8
127,35,13939.35,2758.8570250000002,33,MULTISPECIES: tRNA dihydrouridine(20/20a) synthase DusA [Serratia],8
128,35,2752.447,1502.31725,22,MULTISPECIES: 30S ribosomal protein S19 [Aeromonas],6
129,35,8485.756,2927.8031181818183,33,MULTISPECIES: phosphoglycerate dehydrogenase [Enterobacteriaceae],11
130,35,1939.964,1411.7702,31,MULTISPECIES: 50S ribosomal protein L13 [Serratia],2
131,35,3403.051,1238.3665428571428,33,MULTISPECIES: methionine adenosyltransferase [Kosakonia],7
132,35,6565.992,3480.692511111111,33,MULTISPECIES: serine--tRNA ligase [Enterobacteriaceae],9
133,35,1820.585,1080.8914875,31,"MULTISPECIES: bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE [Serratia]",8
134,35,2278.634,1167.4346799999998,34,MULTISPECIES: glutathione synthase [Vibrio],5
135,35,980.8116,852.54852,28,MULTISPECIES: phosphate response regulator transcription factor PhoB [Serratia],5
136,35,4263.555,1577.05606,32,MULTISPECIES: succinate dehydrogenase iron-sulfur subunit [Serratia],10
137,35,198956.2,20469.04040909091,29,MULTISPECIES: translation initiation factor IF-3 [Serratia],11
138,35,904.32,847.6273333333334,34,MULTISPECIES: redox-regulated ATPase YchF [Vibrio],6
139,35,4876.735,4876.735,34,chorismate synthase [Vibrio cholerae],1
140,35,3428.529,2734.8058,27,MULTISPECIES: 30S ribosomal protein S5 [Enterobacteriaceae],5
141,35,13713.99,2597.2738400000003,17,MULTISPECIES: 30S ribosomal protein S11 [Bacteria],25
142,35,15418.56,4546.921533333333,34,DNA topoisomerase (ATP-hydrolyzing) subunit A [Vibrio cholerae],15
143,35,27872.66,5307.8327,31,MULTISPECIES: transcriptional regulator NrdR [Serratia],6
144,35,18247.98,7176.923111111111,22,MULTISPECIES: 50S ribosomal protein L20 [Aeromonas],18
145,35,4545.701,1449.6089200000001,33,MULTISPECIES: ribonuclease PH [Serratia],5
146,35,13713.99,2224.8082857142854,30,MULTISPECIES: 30S ribosomal protein S2 [Aeromonas],21
147,35,27872.66,11970.704676,34,MULTISPECIES: glutamine-hydrolyzing GMP synthase [Vibrio],25
148,35,3661.11,1310.9178368421053,32,MULTISPECIES: lipoprotein-releasing ABC transporter ATP-binding protein LolD [Serratia],19
149,35,3428.529,1829.3218363636363,32,MULTISPECIES: ABC transporter permease [Aeromonas],11
150,35,2183.574,2183.574,31,MULTISPECIES: succinate--CoA ligase subunit alpha [Serratia],1
151,35,13713.99,7551.2864,33,MULTISPECIES: PhoH family protein [Serratia],8
152,35,13713.99,4120.6745,34,symmetrical bis(5'-nucleosyl)-tetraphosphatase [Vibrio cholerae],4
153,35,941334.2,162837.4975,33,MULTISPECIES: aminoacyl-tRNA hydrolase [Kosakonia],12
154,35,980.8116,851.794375,34,dephospho-CoA kinase [Vibrio cholerae],8
155,35,2659.79,1924.56835,28,MULTISPECIES: 50S ribosomal protein L2 [Enterobacteriaceae],8
156,35,10616.46,2315.0857571428573,34,MULTISPECIES: Holliday junction branch migration DNA helicase RuvB [Vibrio],14
157,35,13713.99,3614.463566666667,33,MULTISPECIES: 4-hydroxybenzoate octaprenyltransferase [Kosakonia],6
158,35,2524.967,1181.0826499999998,15,MULTISPECIES: 30S ribosomal protein S10 [Bacteria],10
159,35,8485.756,2294.86518,34,MULTISPECIES: tRNA 2-thiouridine(34) synthase MnmA [Vibrio],5
160,35,2752.447,1137.944775,32,MULTISPECIES: peptidoglycan glycosyltransferase MrdB [Serratia],8
161,35,2752.447,1670.4750000000001,25,MULTISPECIES: 30S ribosomal protein S7 [Yersiniaceae],2
162,35,13713.99,6505.617309090909,34,MULTISPECIES: excinuclease ABC subunit UvrB [Vibrio],11
163,35,766.6232,766.6232,30,MULTISPECIES: septum site-determining protein MinD [Serratia],1
164,35,28780.5,6932.683454545454,18,MULTISPECIES: 30S ribosomal protein S18 [Bacteria],11
165,35,3428.529,1590.0927062499998,34,MULTISPECIES: phenylalanine--tRNA ligase subunit beta [Vibrio],16
166,35,198956.2,99932.29775000001,34,leucine--tRNA ligase [Vibrio cholerae],2
167,35,3428.529,1164.538242857143,30,MULTISPECIES: crossover junction endodeoxyribonuclease RuvC [Serratia],14
168,35,3174.797,1243.3705461538461,34,MULTISPECIES: phosphoglycerate kinase [Vibrio],13
169,35,6420.008,1343.7295692307694,31,MULTISPECIES: 50S ribosomal protein L6 [Bacteria],13
170,35,38833.58,13715.119777777778,32,MULTISPECIES: chaperonin GroEL [Serratia],9
171,35,38833.58,6421.763246666667,34,MULTISPECIES: ClpXP protease specificity-enhancing factor [Acinetobacter],15
172,35,3428.529,1512.80715,34,tRNA pseudouridine(38-40) synthase TruA [Vibrio cholerae],10
173,35,941334.2,75171.22279285714,34,MULTISPECIES: YggS family pyridoxal phosphate-dependent enzyme [Vibrio],14
174,35,13713.99,1946.7001210526316,34,phosphoribosylformylglycinamidine synthase [Vibrio furnissii],19
175,35,2802.356,1045.2208249999999,34,MULTISPECIES: ribose-5-phosphate isomerase RpiA [Vibrio],8
176,35,13713.99,5620.524133333333,30,MULTISPECIES: Grx4 family monothiol glutaredoxin [Serratia],3
177,35,10272.33,2548.2398444444448,31,MULTISPECIES: signal recognition particle protein [Serratia],9
178,35,28780.5,3550.3097866666667,34,MULTISPECIES: UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [Vibrio],15
179,35,8485.756,1699.6856571428568,34,NAD(P)/FAD-dependent oxidoreductase [Vibrio furnissii],21
180,35,941334.2,43106.87826956521,18,MULTISPECIES: 50S ribosomal protein L33 [Enterobacterales],23
181,35,1228.72,858.0362,32,MULTISPECIES: ribulose-phosphate 3-epimerase [Aeromonas],6
182,35,38833.58,5872.9699200000005,34,MULTISPECIES: bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD [Vibrio],15
183,35,3428.529,1519.81455,29,MULTISPECIES: 3-hydroxyacyl-ACP dehydratase FabZ [Serratia],4
184,35,3428.529,2038.693552,27,MULTISPECIES: 30S ribosomal protein S17 [Aeromonas],25
185,35,6420.008,3166.225725,34,MULTISPECIES: phosphoenolpyruvate synthase [Acinetobacter],8
186,35,1164.52,974.1714999999999,26,MULTISPECIES: 50S ribosomal protein L17 [Aeromonas],2
