# Species	Genes	Alg.-Conn.	GCF_000009365.1_ASM936v1_protein.faa	GCF_000012305.1_ASM1230v1_protein.faa	GCF_000299335.2_ASM29933v2_protein.faa	GCF_000300005.1_ASM30000v1_protein.faa	GCF_001298525.1_ASM129852v1_protein.faa	GCF_001606025.1_ASM160602v1_protein.faa	GCF_001642805.2_ASM164280v2_protein.faa	GCF_001658025.2_ASM165802v2_protein.faa	GCF_001683395.1_ASM168339v1_protein.faa	GCF_001753085.1_ASM175308v1_protein.faa	GCF_001995825.2_ASM199582v2_protein.faa	GCF_002196515.1_ASM219651v1_protein.faa	GCF_002208765.2_ASM220876v2_protein.faa	GCF_002215585.1_ASM221558v1_protein.faa	GCF_002240035.1_ASM224003v1_protein.faa	GCF_002327105.1_ASM232710v1_protein.faa	GCF_003957745.1_ASM395774v1_protein.faa	GCF_004089895.1_ASM408989v1_protein.faa	GCF_004571195.1_ASM457119v1_protein.faa	GCF_004768745.1_ASM476874v1_protein.faa	GCF_006364355.1_ASM636435v1_protein.faa	GCF_007361795.1_ASM736179v1_protein.faa	GCF_007795095.1_ASM779509v1_protein.faa	GCF_008330085.1_ASM833008v1_protein.faa	GCF_008369605.1_ASM836960v1_protein.faa	GCF_009914475.1_ASM991447v1_protein.faa	GCF_010587385.1_ASM1058738v1_protein.faa	GCF_010918895.1_ASM1091889v1_protein.faa	GCF_011764505.1_ASM1176450v1_protein.faa	GCF_015167415.1_ASM1516741v1_protein.faa	GCF_016026735.1_ASM1602673v1_protein.faa	GCF_016127195.1_ASM1612719v1_protein.faa	GCF_016834455.1_ASM1683445v1_protein.faa	GCF_017309605.1_ASM1730960v1_protein.faa	GCF_017310215.1_ASM1731021v1_protein.faa	GCF_017354925.1_ASM1735492v1_protein.faa	GCF_018139125.1_ASM1813912v1_protein.faa	GCF_018324105.1_ASM1832410v1_protein.faa	GCF_019343495.1_ASM1934349v1_protein.faa	GCF_019670705.1_ASM1967070v1_protein.faa	GCF_020149575.1_ASM2014957v1_protein.faa	GCF_020405345.1_ASM2040534v1_protein.faa	GCF_900187015.1_50465_F01_protein.faa	GCF_900637545.1_51438_G01_protein.faa	GCF_904848165.1_ASM90484816v1_protein.faa
45	72	0.214	WP_008930504.1,WP_011588406.1	WP_011281297.1	WP_008732971.1	WP_014996495.1	WP_062534155.1	WP_010197981.1	WP_004940327.1,WP_004847623.1	WP_002891893.1,WP_002438074.1	WP_002891893.1,WP_002438074.1	WP_011213200.1	WP_004738609.1,WP_017056636.1	WP_021020598.1,WP_088133439.1	WP_011514651.1	WP_033537934.1,WP_033539833.1	WP_094090327.1	WP_096008039.1,WP_096296768.1	WP_126166064.1,WP_126165812.1	WP_023478250.1,WP_023481188.1	WP_028385984.1	WP_004940327.1,WP_004847623.1	WP_038150877.1,WP_004729026.1	WP_058500529.1	WP_132998728.1	WP_002891893.1,WP_002438074.1	WP_000767166.1,WP_000717795.1	WP_004650081.1	WP_164649095.1,WP_164648875.1	WP_004281042.1	WP_173237937.1	WP_002891893.1,WP_002438074.1	WP_004847623.1,WP_004949337.1	WP_033114048.1,WP_005308848.1	WP_011759051.1,WP_011758768.1	WP_004940327.1,WP_004847623.1	WP_011704615.1,WP_005308848.1	WP_207322210.1,WP_207320781.1	WP_004281042.1	WP_004650081.1	WP_004281042.1	WP_100142136.1,WP_221049609.1	WP_005904813.1,WP_005895417.1	WP_005308655.1,WP_005308848.1	WP_004847623.1,WP_004949337.1	WP_011704615.1,WP_005308848.1	WP_131669382.1
45	63	0.114	WP_011588404.1	WP_011281094.1	WP_008739228.1	WP_014994247.1	WP_062533824.1	WP_084387347.1	WP_063918770.1	WP_064568339.1	WP_065369232.1	WP_010947452.1,WP_010946054.1	WP_017056329.1,WP_077680538.1	WP_088133431.1	WP_011514435.1	WP_088904546.1,WP_088904582.1	WP_094091084.1	WP_096300682.1	WP_126167021.1,WP_126166969.1	WP_128483582.1	WP_035902318.1,WP_238582809.1	WP_044031891.1	WP_038150838.1,WP_038151291.1	WP_143867830.1,WP_143865659.1	WP_144890849.1	WP_079516917.1	WP_000404358.1,WP_002044129.1	WP_160241161.1	WP_164648854.1,WP_164648675.1	WP_163166630.1	WP_173237252.1,WP_173235933.1	WP_193821851.1	WP_054306522.1	WP_042031395.1,WP_042031480.1	WP_203323888.1,WP_203327062.1	WP_160203999.1	WP_206819700.1,WP_206819614.1	WP_207322922.1,WP_207326131.1	WP_212515680.1	WP_005008802.1	WP_219309750.1	WP_221051038.1,WP_221051030.1	WP_224432601.1,WP_042040595.1	WP_024942819.1,WP_017781125.1	WP_061796107.1	WP_042651396.1,WP_033129884.1	WP_201498711.1
45	60	0.18	WP_035460978.1	WP_011280331.1	WP_008737941.1	WP_014995598.1	WP_062533333.1	WP_062844625.1	WP_063918407.1,WP_019452865.1	WP_064563250.1,WP_064569030.1	WP_065369518.1,WP_065368679.1	WP_010948653.1	WP_017055822.1	WP_088134083.1	WP_011513736.1	WP_033538728.1	WP_094089823.1	WP_096296615.1	WP_126166786.1,WP_126168201.1	WP_128481995.1,WP_054802889.1	WP_028386213.1	WP_033631933.1,WP_082996697.1	WP_004728578.1,WP_004727141.1	WP_143865980.1	WP_144892390.1	WP_007369769.1,WP_007374613.1	WP_000215477.1	WP_005176809.1	WP_164647195.1	WP_163166587.1	WP_173238363.1	WP_193821302.1,WP_193822427.1	WP_054305099.1,WP_015672750.1	WP_041210025.1	WP_203326888.1,WP_203324925.1	WP_129993645.1,WP_015378175.1	WP_011706957.1	WP_207323960.1,WP_207324619.1	WP_212515335.1,WP_212515464.1	WP_005008918.1	WP_219309712.1	WP_221049824.1	WP_042040841.1	WP_010633203.1	WP_061798920.1,WP_061794615.1	WP_042652686.1	WP_201497038.1
45	58	0.24	WP_011589886.1	WP_011280881.1	WP_008740108.1	WP_014992631.1	WP_062535525.1	WP_062845193.1	WP_049274185.1,WP_063919849.1	WP_064563780.1,WP_064564604.1	WP_065370100.1,WP_065370395.1	WP_015444942.1	WP_017056533.1,WP_196385393.1	WP_088133658.1,WP_088134794.1	WP_011514169.1	WP_033539938.1	WP_094092043.1	WP_096299757.1	WP_126167947.1	WP_054803588.1,WP_128482396.1	WP_028385655.1	WP_033632127.1,WP_060560030.1	WP_004724249.1,WP_004728026.1	WP_143865742.1	WP_144892455.1	WP_007370224.1,WP_149288468.1	WP_172626022.1,WP_172626054.1	WP_005177422.1	WP_204274542.1,WP_164650132.1	WP_004894294.1	WP_173235794.1	WP_086873507.1,WP_193820866.1	WP_128143749.1	WP_042030288.1	WP_203324715.1	WP_033632127.1,WP_046687602.1	WP_206818546.1	WP_207324453.1	WP_104124330.1	WP_005010490.1	WP_219309595.1	WP_221049707.1	WP_224431068.1	WP_226014063.1	WP_095098672.1	WP_042652645.1	WP_201499125.1
45	55	0.132	WP_011588454.1	WP_011279976.1	WP_008736812.1	WP_014994296.1	WP_062533412.1	WP_062844077.1	WP_019455118.1,WP_025160224.1	WP_244256247.1,WP_167351137.1	WP_231943036.1,WP_017457625.1	WP_010947014.1	WP_077680874.1	WP_088133599.1	WP_011513011.1	WP_088905956.1	WP_094090691.1	WP_096298856.1	WP_126166173.1	WP_232045220.1,WP_128482148.1	WP_035903653.1	WP_015376692.1,WP_025304102.1	WP_004723836.1	WP_244946869.1	WP_144890314.1	WP_244970395.1,WP_035942049.1	WP_000177559.1	WP_045795088.1	WP_164649159.1	WP_163166591.1	WP_173236879.1	WP_228007867.1,WP_193821127.1	WP_054305168.1,WP_054306169.1	WP_042030507.1	WP_203326372.1	WP_160880184.1,WP_033644792.1	WP_206819395.1	WP_207324349.1	WP_212515463.1	WP_005008915.1	WP_005104583.1	WP_221051134.1	WP_224431223.1	WP_043170409.1	WP_061795033.1,WP_095099080.1	WP_042653034.1	WP_201497304.1
45	54	0.735	WP_011587666.1	WP_011279689.1	WP_041025923.1	WP_041717128.1	WP_062533886.1	WP_062843867.1	WP_015376315.1,WP_055314187.1	WP_064563291.1	WP_015742710.1,WP_017460031.1	WP_010946066.1	WP_077680933.1	WP_021021757.1	WP_011512793.1	WP_088903540.1	WP_094091987.1	WP_096297397.1	WP_126169070.1	WP_076768836.1	WP_028386052.1,WP_115152860.1	WP_015379267.1	WP_004728252.1	WP_058502161.1	WP_144892832.1	WP_017460031.1	WP_000031644.1	WP_104513317.1,WP_160241040.1	WP_164649258.1	WP_004811166.1	WP_173235947.1	WP_015742710.1,WP_017460031.1	WP_015344220.1	WP_041209577.1,WP_074042664.1	WP_011758321.1	WP_015376315.1	WP_011707694.1	WP_207321607.1,WP_207321619.1	WP_004932358.1	WP_005006977.1	WP_004646112.1	WP_221050213.1	WP_042644447.1,WP_224431767.1	WP_005306325.1	WP_095095107.1,WP_095099556.1	WP_126623228.1	WP_201497832.1
45	51	0.155	WP_011588575.1	WP_011279526.1	WP_008737687.1,WP_202966536.1	WP_148279248.1	WP_062534770.1	WP_062843678.1	WP_019454092.1	WP_064567890.1,WP_043954730.1	WP_017455875.1,WP_017458790.1	WP_010946260.1	WP_017055293.1	WP_021021265.1	WP_011512607.1	WP_011865819.1	WP_232505467.1	WP_096300177.1	WP_126166935.1	WP_128483402.1	WP_051551073.1	WP_004940022.1	WP_004724280.1	WP_143866477.1	WP_144890456.1	WP_007373840.1,WP_007373413.1	WP_000006443.1	WP_160240928.1	WP_164649527.1	WP_163164799.1	WP_173236153.1	WP_086871507.1,WP_193821857.1	WP_054305917.1	WP_033116160.1	WP_203327015.1	WP_004940022.1	WP_206819067.1	WP_207326155.1	WP_076033426.1	WP_005013083.1	WP_219310317.1,WP_219307423.1	WP_100143694.1	WP_042039600.1	WP_005307266.1	WP_095096211.1	WP_042651805.1	WP_201498046.1
45	50	0.24	WP_011587621.1	WP_011279378.1	WP_008733154.1	WP_014996175.1	WP_062534458.1	WP_062843520.1	WP_025160373.1	WP_074922673.1	WP_017459647.1	WP_010948480.1	WP_077680960.1	WP_088134052.1	WP_011512445.1	WP_033537401.1	WP_094089973.1	WP_096300401.1	WP_126166087.1	WP_128483923.1	WP_028385966.1	WP_085058906.1	WP_004728532.1	WP_058501265.1	WP_144893549.1	WP_007369238.1	WP_001254171.1	WP_005181780.1	WP_164649295.1	WP_163164692.1	WP_173238166.1	WP_193821524.1	WP_015962330.1	WP_041207655.1,WP_042032157.1	WP_203326293.1	WP_033652212.1	WP_016350610.1,WP_171281121.1	WP_207325618.1	WP_004932474.1	WP_005013292.1	WP_219307522.1	WP_100144236.1	WP_224430514.1,WP_224432313.1	WP_005300511.1,WP_005298144.1	WP_061799760.1	WP_042652254.1,WP_042652789.1	WP_201498215.1
45	50	0.219	WP_007148571.1	WP_041758036.1	WP_035203432.1	WP_014993375.1	WP_157049361.1	WP_228139940.1	WP_000462905.1	WP_000462905.1	WP_000462905.1	WP_010946289.1,WP_010947100.1	WP_004729744.1	WP_021021668.1	WP_088591987.1	WP_011864135.1	WP_045107020.1,WP_232505575.1	WP_096296395.1	WP_011761333.1	WP_000462905.1	WP_028386092.1,WP_028386369.1	WP_000462905.1	WP_000462885.1	WP_058501575.1,WP_135060393.1	WP_144891131.1	WP_000462905.1	WP_000462885.1	WP_001086304.1	WP_000462885.1	WP_001086304.1	WP_018576070.1,WP_173236950.1	WP_000462905.1	WP_000462905.1	WP_005309538.1	WP_011761333.1	WP_000462905.1	WP_005309538.1	WP_025011339.1	WP_001086304.1	WP_001086304.1	WP_001086304.1	WP_025011339.1	WP_005309538.1	WP_005309538.1	WP_000462905.1	WP_005309538.1	WP_201499815.1
45	50	0.213	WP_011588986.1	WP_011279493.1	WP_008738584.1	WP_014993824.1	WP_062534687.1	WP_062843635.1	WP_063918714.1	WP_064563500.1	WP_065369430.1	WP_070071223.1	WP_077680164.1	WP_088134836.1	WP_011512567.1	WP_088904649.1	WP_094090359.1	WP_096297447.1	WP_126166885.1	WP_128482070.1	WP_028385769.1	WP_048325542.1	WP_038151355.1	WP_143867127.1	WP_144892925.1	WP_090397692.1	WP_000283414.1	WP_005178520.1,WP_171502401.1	WP_164647852.1	WP_163165830.1,WP_163166687.1	WP_173236312.1	WP_193821242.1	WP_054305948.1	WP_042031676.1	WP_203326973.1	WP_046687863.1	WP_139391942.1	WP_207323900.1	WP_212515648.1,WP_151977367.1	WP_005009275.1,WP_018572444.1	WP_219309248.1,WP_219309798.1	WP_221051065.1	WP_224432951.1	WP_043170299.1	WP_095099340.1	WP_042651748.1	WP_201498090.1
45	49	0.257	WP_011588164.1	WP_011279727.1	WP_008739290.1	WP_014993948.1	WP_062535198.1	WP_062843918.1	WP_019453033.1	WP_064568364.1	WP_065369255.1	WP_025862459.1	WP_017056271.1	WP_021020946.1,WP_021021221.1	WP_011512830.1	WP_198387134.1	WP_094091871.1	WP_096296762.1	WP_126166249.1	WP_128483602.1	WP_081776761.1	WP_033632242.1,WP_033633579.1	WP_004723965.1	WP_143868027.1	WP_144891832.1	WP_149289149.1	WP_000049894.1	WP_160241164.1	WP_164647582.1	WP_163165509.1	WP_226905625.1	WP_193821835.1	WP_015673573.1	WP_042030291.1	WP_203326443.1	WP_069100476.1,WP_033644641.1	WP_206819527.1	WP_207325726.1	WP_151816008.1	WP_005011192.1	WP_219308937.1	WP_221049555.1	WP_224431045.1	WP_005303498.1	WP_061796749.1,WP_061797298.1	WP_042654082.1	WP_201497790.1
